                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_C,       V_C,    VADJ_A,    VADJ_B,    VADJ_C,    VADJ_D, Total Power
 Thu Apr 24 06:00:31 2014, 00:1e:c0:81:1d:ac,  16.0 C,   2.394 V,     1,       0,       1,     1,   1.744 A,  11.903 V,   1.183 V,   1.183 V,   0.980 V,   0.978 V,  20.755 W
 Thu Apr 24 06:00:41 2014, 00:1e:c0:81:1d:ac,  23.1 C,   2.394 V,     1,       0,       1,     1,   1.741 A,  11.903 V,   1.184 V,   1.183 V,   0.979 V,   0.975 V,  20.718 W
 Thu Apr 24 06:00:50 2014, 00:1e:c0:81:1d:ac,  27.5 C,   2.394 V,     1,       0,       1,     1,   1.739 A,  11.903 V,   1.186 V,   1.182 V,   0.980 V,   0.976 V,  20.699 W
 Thu Apr 24 06:01:00 2014, 00:1e:c0:81:1d:ac,  30.7 C,   2.390 V,     1,       0,       1,     1,   1.741 A,  11.903 V,   1.185 V,   1.183 V,   0.979 V,   0.975 V,  20.718 W
 Thu Apr 24 06:01:10 2014, 00:1e:c0:81:1d:ac,  32.8 C,   2.390 V,     1,       0,       1,     1,   1.741 A,  11.903 V,   1.186 V,   1.184 V,   0.980 V,   0.974 V,  20.718 W
 Thu Apr 24 06:01:20 2014, 00:1e:c0:81:1d:ac,  34.4 C,   2.390 V,     1,       0,       1,     1,   1.741 A,  11.903 V,   1.188 V,   1.185 V,   0.980 V,   0.973 V,  20.718 W
 Thu Apr 24 06:01:30 2014, 00:1e:c0:81:1d:ac,  36.1 C,   2.390 V,     1,       0,       1,     1,   1.742 A,  11.903 V,   1.188 V,   1.185 V,   0.979 V,   0.974 V,  20.737 W
 Thu Apr 24 06:01:40 2014, 00:1e:c0:81:1d:ac,  36.5 C,   2.390 V,     1,       0,       1,     1,   1.742 A,  11.903 V,   1.186 V,   1.184 V,   0.981 V,   0.976 V,  20.737 W
 Thu Apr 24 06:01:50 2014, 00:1e:c0:81:1d:ac,  37.3 C,   2.390 V,     1,       0,       1,     1,   1.741 A,  11.880 V,   1.186 V,   1.185 V,   0.981 V,   0.976 V,  20.678 W
 Thu Apr 24 06:02:00 2014, 00:1e:c0:81:1d:ac,  38.0 C,   2.390 V,     1,       0,       1,     1,   1.742 A,  11.903 V,   1.188 V,   1.185 V,   0.980 V,   0.975 V,  20.737 W
 Thu Apr 24 06:02:10 2014, 00:1e:c0:81:1d:ac,  39.0 C,   2.390 V,     1,       0,       1,     1,   1.742 A,  11.903 V,   1.187 V,   1.186 V,   0.980 V,   0.975 V,  20.737 W
 Thu Apr 24 06:02:20 2014, 00:1e:c0:81:1d:ac,  39.0 C,   2.390 V,     1,       0,       1,     1,   1.742 A,  11.903 V,   1.186 V,   1.185 V,   0.981 V,   0.974 V,  20.737 W
 Thu Apr 24 06:02:30 2014, 00:1e:c0:81:1d:ac,  39.5 C,   2.390 V,     1,       0,       1,     1,   1.744 A,  11.903 V,   1.187 V,   1.186 V,   0.979 V,   0.975 V,  20.755 W
