                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:00:32 2014, 00:1e:c0:81:3a:fa,  14.2 C,   0.964 V,     1,       0,       1,     1  0.802 A,  11.880 V,   0.660 A,  11.903 V,  17.389 W
 Thu Apr 24 06:00:42 2014, 00:1e:c0:81:3a:fa,  18.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.880 V,   0.652 A,  11.903 V,  17.122 W
 Thu Apr 24 06:00:52 2014, 00:1e:c0:81:3a:fa,  21.0 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.650 A,  11.880 V,  17.018 W
 Thu Apr 24 06:01:02 2014, 00:1e:c0:81:3a:fa,  23.2 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.903 V,   0.647 A,  11.880 V,  16.946 W
 Thu Apr 24 06:01:12 2014, 00:1e:c0:81:3a:fa,  24.8 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.903 V,   0.647 A,  11.903 V,  17.080 W
 Thu Apr 24 06:01:22 2014, 00:1e:c0:81:3a:fa,  26.1 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.903 V,   0.645 A,  11.880 V,  16.946 W
 Thu Apr 24 06:01:32 2014, 00:1e:c0:81:3a:fa,  27.1 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.880 V,   0.642 A,  11.903 V,  16.914 W
 Thu Apr 24 06:01:42 2014, 00:1e:c0:81:3a:fa,  27.7 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.903 V,   0.645 A,  11.903 V,  17.051 W
 Thu Apr 24 06:01:52 2014, 00:1e:c0:81:3a:fa,  28.3 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.880 V,   0.642 A,  11.903 V,  16.824 W
 Thu Apr 24 06:02:02 2014, 00:1e:c0:81:3a:fa,  28.9 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.903 V,   0.642 A,  11.903 V,  16.931 W
 Thu Apr 24 06:02:12 2014, 00:1e:c0:81:3a:fa,  29.2 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.880 V,   0.642 A,  11.903 V,  16.973 W
