                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:00:31 2014, 00:1e:c0:81:71:33,  14.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.880 V,   0.670 A,  11.880 V,  17.018 W
 Thu Apr 24 06:00:41 2014, 00:1e:c0:81:71:33,  18.6 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.880 V,   0.662 A,  11.903 V,  16.855 W
 Thu Apr 24 06:00:51 2014, 00:1e:c0:81:71:33,  21.4 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.660 A,  11.880 V,  16.887 W
 Thu Apr 24 06:01:01 2014, 00:1e:c0:81:71:33,  23.4 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.660 A,  11.880 V,  16.857 W
 Thu Apr 24 06:01:11 2014, 00:1e:c0:81:71:33,  25.0 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.657 A,  11.903 V,  16.842 W
 Thu Apr 24 06:01:21 2014, 00:1e:c0:81:71:33,  26.2 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.903 V,   0.657 A,  11.903 V,  16.812 W
 Thu Apr 24 06:01:31 2014, 00:1e:c0:81:71:33,  27.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.655 A,  11.903 V,  16.842 W
 Thu Apr 24 06:01:41 2014, 00:1e:c0:81:71:33,  27.8 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.657 A,  11.903 V,  16.842 W
 Thu Apr 24 06:01:51 2014, 00:1e:c0:81:71:33,  28.4 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.657 A,  11.903 V,  16.842 W
 Thu Apr 24 06:02:01 2014, 00:1e:c0:81:71:33,  28.8 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.657 A,  11.903 V,  16.872 W
 Thu Apr 24 06:02:11 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.655 A,  11.903 V,  16.842 W
 Thu Apr 24 06:02:21 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.657 A,  11.903 V,  16.842 W
