                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_C,       V_C,    VADJ_A,    VADJ_B,    VADJ_C,    VADJ_D, Total Power
 Wed Apr 23 07:38:14 2014, 00:1e:c0:81:1d:ac,  21.3 C,   2.394 V,     1,       0,       1,     1,   1.752 A,  11.834 V,   1.184 V,   1.182 V,   0.979 V,   0.974 V,  20.727 W
 Wed Apr 23 07:38:24 2014, 00:1e:c0:81:1d:ac,  28.3 C,   2.394 V,     1,       0,       1,     1,   1.748 A,  11.834 V,   1.184 V,   1.184 V,   0.980 V,   0.975 V,  20.690 W
 Wed Apr 23 07:38:34 2014, 00:1e:c0:81:1d:ac,  32.7 C,   2.390 V,     1,       0,       1,     1,   1.748 A,  11.834 V,   1.184 V,   1.184 V,   0.979 V,   0.974 V,  20.690 W
 Wed Apr 23 07:38:44 2014, 00:1e:c0:81:1d:ac,  36.1 C,   2.390 V,     1,       0,       1,     1,   1.750 A,  11.834 V,   1.184 V,   1.185 V,   0.980 V,   0.974 V,  20.709 W
 Wed Apr 23 07:38:54 2014, 00:1e:c0:81:1d:ac,  38.3 C,   2.390 V,     1,       0,       1,     1,   1.748 A,  11.811 V,   1.186 V,   1.185 V,   0.980 V,   0.974 V,  20.650 W
 Wed Apr 23 07:39:04 2014, 00:1e:c0:81:1d:ac,  40.1 C,   2.390 V,     1,       0,       1,     1,   1.752 A,  11.834 V,   1.186 V,   1.185 V,   0.980 V,   0.974 V,  20.727 W
 Wed Apr 23 07:39:15 2014, 00:1e:c0:81:1d:ac,  41.8 C,   2.649 V,     1,       1,       0,     1,   2.133 A,  11.857 V,   1.321 V,   1.316 V,   1.086 V,   1.077 V,  25.288 W
 Wed Apr 23 07:39:24 2014, 00:1e:c0:81:1d:ac,  43.3 C,   2.649 V,     1,       1,       0,     1,   2.133 A,  11.857 V,   1.320 V,   1.316 V,   1.086 V,   1.079 V,  25.288 W
 Wed Apr 23 07:39:35 2014, 00:1e:c0:81:1d:ac,  45.1 C,   2.649 V,     1,       1,       0,     1,   2.133 A,  11.880 V,   1.320 V,   1.317 V,   1.087 V,   1.079 V,  25.337 W
 Wed Apr 23 07:39:44 2014, 00:1e:c0:81:1d:ac,  46.9 C,   2.649 V,     1,       1,       0,     1,   2.133 A,  11.857 V,   1.321 V,   1.317 V,   1.087 V,   1.079 V,  25.288 W
 Wed Apr 23 07:39:54 2014, 00:1e:c0:81:1d:ac,  48.1 C,   2.649 V,     1,       1,       0,     1,   2.133 A,  11.857 V,   1.321 V,   1.317 V,   1.087 V,   1.079 V,  25.288 W
 Wed Apr 23 07:40:04 2014, 00:1e:c0:81:1d:ac,  48.9 C,   2.649 V,     1,       1,       0,     1,   2.134 A,  11.857 V,   1.321 V,   1.317 V,   1.087 V,   1.079 V,  25.306 W
 Wed Apr 23 07:40:14 2014, 00:1e:c0:81:1d:ac,  49.2 C,   2.515 V,     1,       0,       0,     1,   1.852 A,  11.880 V,   1.252 V,   1.250 V,   1.031 V,   1.024 V,  21.996 W
 Wed Apr 23 07:40:24 2014, 00:1e:c0:81:1d:ac,  48.4 C,   2.515 V,     1,       0,       0,     1,   1.847 A,  11.880 V,   1.252 V,   1.250 V,   1.032 V,   1.024 V,  21.940 W
 Wed Apr 23 07:40:34 2014, 00:1e:c0:81:1d:ac,  48.5 C,   2.515 V,     1,       0,       0,     1,   1.845 A,  11.880 V,   1.252 V,   1.250 V,   1.032 V,   1.025 V,  21.922 W
 Wed Apr 23 07:40:44 2014, 00:1e:c0:81:1d:ac,  48.2 C,   2.515 V,     1,       0,       0,     1,   1.844 A,  11.903 V,   1.251 V,   1.249 V,   1.031 V,   1.025 V,  21.945 W
 Wed Apr 23 07:40:54 2014, 00:1e:c0:81:1d:ac,  47.8 C,   2.515 V,     1,       0,       0,     1,   1.842 A,  11.880 V,   1.251 V,   1.249 V,   1.031 V,   1.025 V,  21.884 W
 Wed Apr 23 07:41:04 2014, 00:1e:c0:81:1d:ac,  47.0 C,   2.515 V,     1,       0,       0,     1,   1.841 A,  11.880 V,   1.251 V,   1.249 V,   1.031 V,   1.025 V,  21.866 W
 Wed Apr 23 07:41:17 2014, 00:1e:c0:81:1d:ac,  46.2 C,   2.515 V,     1,       0,       0,     2,   2.155 A,  11.834 V,   1.259 V,   1.256 V,   1.036 V,   1.028 V,  25.498 W
 Wed Apr 23 07:41:27 2014, 00:1e:c0:81:1d:ac,  46.8 C,   2.515 V,     1,       0,       0,     2,   2.155 A,  11.834 V,   1.258 V,   1.256 V,   1.036 V,   1.027 V,  25.498 W
 Wed Apr 23 07:41:37 2014, 00:1e:c0:81:1d:ac,  46.7 C,   2.515 V,     1,       0,       0,     2,   2.156 A,  11.834 V,   1.258 V,   1.256 V,   1.037 V,   1.027 V,  25.516 W
 Wed Apr 23 07:41:47 2014, 00:1e:c0:81:1d:ac,  47.5 C,   2.515 V,     1,       0,       0,     2,   2.156 A,  11.834 V,   1.258 V,   1.256 V,   1.038 V,   1.027 V,  25.516 W
 Wed Apr 23 07:41:57 2014, 00:1e:c0:81:1d:ac,  48.4 C,   2.515 V,     1,       0,       0,     2,   2.156 A,  11.834 V,   1.259 V,   1.256 V,   1.038 V,   1.027 V,  25.516 W
 Wed Apr 23 07:42:07 2014, 00:1e:c0:81:1d:ac,  48.6 C,   2.515 V,     1,       0,       0,     2,   2.153 A,  11.834 V,   1.259 V,   1.256 V,   1.037 V,   1.028 V,  25.479 W
