                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 07:38:14 2014, 00:1e:c0:81:3a:fa,  19.0 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.834 V,   0.650 A,  11.834 V,  16.981 W
 Wed Apr 23 07:38:24 2014, 00:1e:c0:81:3a:fa,  22.8 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.834 V,   0.645 A,  11.834 V,  16.863 W
 Wed Apr 23 07:38:34 2014, 00:1e:c0:81:3a:fa,  25.7 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.834 V,   0.645 A,  11.834 V,  16.863 W
 Wed Apr 23 07:38:44 2014, 00:1e:c0:81:3a:fa,  27.7 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.834 V,   0.645 A,  11.834 V,  16.833 W
 Wed Apr 23 07:38:54 2014, 00:1e:c0:81:3a:fa,  29.3 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.811 V,   0.640 A,  11.834 V,  16.697 W
 Wed Apr 23 07:39:04 2014, 00:1e:c0:81:3a:fa,  30.5 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.811 V,   0.645 A,  11.811 V,  16.800 W
 Wed Apr 23 07:39:15 2014, 00:1e:c0:81:3a:fa,  31.4 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.772 A,  11.857 V,  20.038 W
 Wed Apr 23 07:39:25 2014, 00:1e:c0:81:3a:fa,  32.4 C,   1.068 V,     1,       1,       0,     1  0.912 A,  11.857 V,   0.770 A,  11.880 V,  19.966 W
 Wed Apr 23 07:39:35 2014, 00:1e:c0:81:3a:fa,  33.3 C,   1.068 V,     1,       1,       0,     1  0.912 A,  11.857 V,   0.770 A,  11.857 V,  19.949 W
 Wed Apr 23 07:39:44 2014, 00:1e:c0:81:3a:fa,  33.7 C,   1.068 V,     1,       1,       0,     1  0.912 A,  11.857 V,   0.767 A,  11.857 V,  19.919 W
 Wed Apr 23 07:39:54 2014, 00:1e:c0:81:3a:fa,  34.0 C,   1.068 V,     1,       1,       0,     1  0.912 A,  11.857 V,   0.767 A,  11.857 V,  19.919 W
 Wed Apr 23 07:40:04 2014, 00:1e:c0:81:3a:fa,  34.4 C,   1.068 V,     1,       1,       0,     1  0.912 A,  11.857 V,   0.767 A,  11.857 V,  19.919 W
 Wed Apr 23 07:40:15 2014, 00:1e:c0:81:3a:fa,  34.6 C,   1.016 V,     1,       0,       0,     1  0.762 A,  11.880 V,   0.693 A,  11.880 V,  17.285 W
 Wed Apr 23 07:40:25 2014, 00:1e:c0:81:3a:fa,  34.1 C,   1.016 V,     1,       0,       0,     1  0.765 A,  11.903 V,   0.693 A,  11.880 V,  17.332 W
 Wed Apr 23 07:40:35 2014, 00:1e:c0:81:3a:fa,  33.6 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.903 V,   0.693 A,  11.880 V,  17.392 W
 Wed Apr 23 07:40:45 2014, 00:1e:c0:81:3a:fa,  33.2 C,   1.016 V,     1,       0,       0,     1  0.765 A,  11.880 V,   0.693 A,  11.903 V,  17.330 W
 Wed Apr 23 07:40:55 2014, 00:1e:c0:81:3a:fa,  33.0 C,   1.016 V,     1,       0,       0,     1  0.765 A,  11.880 V,   0.693 A,  11.903 V,  17.330 W
 Wed Apr 23 07:41:05 2014, 00:1e:c0:81:3a:fa,  32.9 C,   1.016 V,     1,       0,       0,     1  0.765 A,  11.880 V,   0.693 A,  11.880 V,  17.315 W
 Wed Apr 23 07:41:18 2014, 00:1e:c0:81:3a:fa,  32.8 C,   1.016 V,     1,       0,       0,     2  1.097 A,  11.834 V,   0.983 A,  11.834 V,  24.614 W
 Wed Apr 23 07:41:28 2014, 00:1e:c0:81:3a:fa,  34.0 C,   1.016 V,     1,       0,       0,     2  1.100 A,  11.834 V,   0.983 A,  11.834 V,  24.643 W
 Wed Apr 23 07:41:38 2014, 00:1e:c0:81:3a:fa,  35.1 C,   1.016 V,     1,       0,       0,     2  1.100 A,  11.834 V,   0.983 A,  11.834 V,  24.643 W
 Wed Apr 23 07:41:48 2014, 00:1e:c0:81:3a:fa,  35.8 C,   1.016 V,     1,       0,       0,     2  1.100 A,  11.834 V,   0.983 A,  11.834 V,  24.643 W
 Wed Apr 23 07:41:58 2014, 00:1e:c0:81:3a:fa,  36.2 C,   1.016 V,     1,       0,       0,     2  1.097 A,  11.834 V,   0.985 A,  11.834 V,  24.643 W
 Wed Apr 23 07:42:08 2014, 00:1e:c0:81:3a:fa,  36.6 C,   1.016 V,     1,       0,       0,     2  1.100 A,  11.834 V,   0.985 A,  11.834 V,  24.673 W
