                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 07:38:15 2014, 00:1e:c0:81:71:33,  20.3 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.811 V,   0.685 A,  11.834 V,  17.318 W
 Wed Apr 23 07:38:25 2014, 00:1e:c0:81:71:33,  24.5 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.834 V,   0.672 A,  11.834 V,  17.070 W
 Wed Apr 23 07:38:35 2014, 00:1e:c0:81:71:33,  27.5 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.811 V,   0.670 A,  11.834 V,  16.993 W
 Wed Apr 23 07:38:45 2014, 00:1e:c0:81:71:33,  29.6 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.834 V,   0.667 A,  11.834 V,  16.981 W
 Wed Apr 23 07:38:55 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.834 V,   0.665 A,  11.834 V,  16.922 W
 Wed Apr 23 07:39:05 2014, 00:1e:c0:81:71:33,  32.5 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.834 V,   0.662 A,  11.834 V,  16.922 W
 Wed Apr 23 07:39:16 2014, 00:1e:c0:81:71:33,  33.4 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.857 V,   0.790 A,  11.857 V,  20.038 W
 Wed Apr 23 07:39:26 2014, 00:1e:c0:81:71:33,  34.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.857 V,   0.785 A,  11.857 V,  19.949 W
 Wed Apr 23 07:39:36 2014, 00:1e:c0:81:71:33,  35.5 C,   1.063 V,     1,       1,       0,     1  0.895 A,  11.857 V,   0.782 A,  11.857 V,  19.889 W
 Wed Apr 23 07:39:45 2014, 00:1e:c0:81:71:33,  36.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.857 V,   0.780 A,  11.857 V,  19.889 W
 Wed Apr 23 07:39:55 2014, 00:1e:c0:81:71:33,  36.6 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.857 V,   0.780 A,  11.857 V,  19.889 W
 Wed Apr 23 07:40:05 2014, 00:1e:c0:81:71:33,  37.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.857 V,   0.777 A,  11.857 V,  19.860 W
 Wed Apr 23 07:40:16 2014, 00:1e:c0:81:71:33,  37.5 C,   1.011 V,     1,       0,       0,     1  0.750 A,  11.880 V,   0.708 A,  11.880 V,  17.315 W
 Wed Apr 23 07:40:26 2014, 00:1e:c0:81:71:33,  37.0 C,   1.011 V,     1,       0,       0,     1  0.750 A,  11.880 V,   0.708 A,  11.880 V,  17.315 W
 Wed Apr 23 07:40:36 2014, 00:1e:c0:81:71:33,  36.6 C,   1.011 V,     1,       0,       0,     1  0.752 A,  11.880 V,   0.708 A,  11.880 V,  17.344 W
 Wed Apr 23 07:40:46 2014, 00:1e:c0:81:71:33,  36.2 C,   1.011 V,     1,       0,       0,     1  0.752 A,  11.880 V,   0.708 A,  11.880 V,  17.344 W
 Wed Apr 23 07:40:56 2014, 00:1e:c0:81:71:33,  36.0 C,   1.011 V,     1,       0,       0,     1  0.750 A,  11.880 V,   0.708 A,  11.903 V,  17.331 W
 Wed Apr 23 07:41:06 2014, 00:1e:c0:81:71:33,  35.8 C,   1.011 V,     1,       0,       0,     1  0.750 A,  11.903 V,   0.708 A,  11.880 V,  17.332 W
 Wed Apr 23 07:41:18 2014, 00:1e:c0:81:71:33,  35.8 C,   1.011 V,     1,       0,       0,     2  1.095 A,  11.834 V,   1.000 A,  11.834 V,  24.791 W
 Wed Apr 23 07:41:28 2014, 00:1e:c0:81:71:33,  37.3 C,   1.011 V,     1,       0,       0,     2  1.097 A,  11.834 V,   1.008 A,  11.834 V,  24.910 W
 Wed Apr 23 07:41:38 2014, 00:1e:c0:81:71:33,  38.3 C,   1.011 V,     1,       0,       0,     2  1.105 A,  11.834 V,   1.008 A,  11.834 V,  24.998 W
 Wed Apr 23 07:41:48 2014, 00:1e:c0:81:71:33,  39.3 C,   1.011 V,     1,       0,       0,     2  1.100 A,  11.834 V,   1.002 A,  11.834 V,  24.880 W
 Wed Apr 23 07:41:58 2014, 00:1e:c0:81:71:33,  39.9 C,   1.011 V,     1,       0,       0,     2  1.097 A,  11.834 V,   1.002 A,  11.857 V,  24.874 W
 Wed Apr 23 07:42:08 2014, 00:1e:c0:81:71:33,  40.3 C,   1.011 V,     1,       0,       0,     2  1.095 A,  11.857 V,   1.000 A,  11.834 V,  24.817 W
