                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_C,       V_C,    VADJ_A,    VADJ_B,    VADJ_C,    VADJ_D, Total Power
 Wed Apr 23 07:38:15 2014, 00:04:a3:a0:ff:0e,  20.4 C,   1.547 V,     1,       0,       1,     1,   0.839 A,  11.834 V,   1.144 V,   1.145 V,   0.962 V,   0.954 V,   9.929 W
 Wed Apr 23 07:38:25 2014, 00:04:a3:a0:ff:0e,  26.5 C,   1.547 V,     1,       0,       1,     1,   0.838 A,  11.834 V,   1.147 V,   1.148 V,   0.963 V,   0.954 V,   9.911 W
 Wed Apr 23 07:38:35 2014, 00:04:a3:a0:ff:0e,  30.5 C,   1.547 V,     1,       0,       1,     1,   0.838 A,  11.834 V,   1.149 V,   1.149 V,   0.964 V,   0.954 V,   9.911 W
 Wed Apr 23 07:38:45 2014, 00:04:a3:a0:ff:0e,  33.2 C,   1.547 V,     1,       0,       1,     1,   0.838 A,  11.834 V,   1.149 V,   1.150 V,   0.964 V,   0.954 V,   9.911 W
 Wed Apr 23 07:38:55 2014, 00:04:a3:a0:ff:0e,  35.2 C,   1.547 V,     1,       0,       1,     1,   0.839 A,  11.834 V,   1.151 V,   1.149 V,   0.964 V,   0.953 V,   9.929 W
 Wed Apr 23 07:39:05 2014, 00:04:a3:a0:ff:0e,  36.7 C,   1.547 V,     1,       0,       1,     1,   0.839 A,  11.834 V,   1.151 V,   1.151 V,   0.964 V,   0.954 V,   9.929 W
 Wed Apr 23 07:39:16 2014, 00:04:a3:a0:ff:0e,  37.8 C,   1.716 V,     1,       1,       0,     1,   0.992 A,  11.857 V,   1.274 V,   1.272 V,   1.064 V,   1.054 V,  11.764 W
 Wed Apr 23 07:39:25 2014, 00:04:a3:a0:ff:0e,  39.6 C,   1.716 V,     1,       1,       0,     1,   0.994 A,  11.880 V,   1.275 V,   1.272 V,   1.064 V,   1.054 V,  11.805 W
 Wed Apr 23 07:39:36 2014, 00:04:a3:a0:ff:0e,  41.0 C,   1.716 V,     1,       1,       0,     1,   0.994 A,  11.857 V,   1.276 V,   1.274 V,   1.064 V,   1.054 V,  11.782 W
 Wed Apr 23 07:39:45 2014, 00:04:a3:a0:ff:0e,  41.9 C,   1.716 V,     1,       1,       0,     1,   0.994 A,  11.857 V,   1.276 V,   1.274 V,   1.065 V,   1.055 V,  11.782 W
 Wed Apr 23 07:39:55 2014, 00:04:a3:a0:ff:0e,  42.4 C,   1.716 V,     1,       1,       0,     1,   0.995 A,  11.857 V,   1.276 V,   1.273 V,   1.064 V,   1.055 V,  11.801 W
 Wed Apr 23 07:40:05 2014, 00:04:a3:a0:ff:0e,  42.8 C,   1.716 V,     1,       1,       0,     1,   0.994 A,  11.857 V,   1.275 V,   1.274 V,   1.066 V,   1.055 V,  11.782 W
 Wed Apr 23 07:40:15 2014, 00:04:a3:a0:ff:0e,  43.2 C,   1.629 V,     1,       0,       0,     1,   0.842 A,  11.880 V,   1.213 V,   1.212 V,   1.014 V,   1.003 V,  10.005 W
 Wed Apr 23 07:40:25 2014, 00:04:a3:a0:ff:0e,  42.8 C,   1.629 V,     1,       0,       0,     1,   0.842 A,  11.903 V,   1.212 V,   1.211 V,   1.015 V,   1.004 V,  10.024 W
 Wed Apr 23 07:40:35 2014, 00:04:a3:a0:ff:0e,  42.2 C,   1.629 V,     1,       0,       0,     1,   0.841 A,  11.903 V,   1.212 V,   1.212 V,   1.014 V,   1.004 V,  10.006 W
 Wed Apr 23 07:40:45 2014, 00:04:a3:a0:ff:0e,  41.5 C,   1.629 V,     1,       0,       0,     1,   0.841 A,  11.880 V,   1.212 V,   1.212 V,   1.015 V,   1.004 V,   9.986 W
 Wed Apr 23 07:40:55 2014, 00:04:a3:a0:ff:0e,  41.2 C,   1.629 V,     1,       0,       0,     1,   0.842 A,  11.880 V,   1.212 V,   1.212 V,   1.015 V,   1.004 V,  10.005 W
 Wed Apr 23 07:41:05 2014, 00:04:a3:a0:ff:0e,  41.2 C,   1.629 V,     1,       0,       0,     1,   0.841 A,  11.880 V,   1.212 V,   1.212 V,   1.015 V,   1.003 V,   9.986 W
 Wed Apr 23 07:41:18 2014, 00:04:a3:a0:ff:0e,  41.1 C,   1.629 V,     1,       0,       0,     2,   0.939 A,  11.834 V,   1.212 V,   1.211 V,   1.014 V,   1.004 V,  11.112 W
 Wed Apr 23 07:41:28 2014, 00:04:a3:a0:ff:0e,  41.2 C,   1.629 V,     1,       0,       0,     2,   0.939 A,  11.834 V,   1.212 V,   1.211 V,   1.014 V,   1.004 V,  11.112 W
 Wed Apr 23 07:41:38 2014, 00:04:a3:a0:ff:0e,  41.3 C,   1.629 V,     1,       0,       0,     2,   0.938 A,  11.834 V,   1.211 V,   1.211 V,   1.014 V,   1.003 V,  11.094 W
 Wed Apr 23 07:41:48 2014, 00:04:a3:a0:ff:0e,  41.5 C,   1.629 V,     1,       0,       0,     2,   0.939 A,  11.857 V,   1.212 V,   1.212 V,   1.014 V,   1.002 V,  11.134 W
 Wed Apr 23 07:41:58 2014, 00:04:a3:a0:ff:0e,  41.3 C,   1.629 V,     1,       0,       0,     2,   0.938 A,  11.834 V,   1.212 V,   1.211 V,   1.014 V,   1.004 V,  11.094 W
 Wed Apr 23 07:42:08 2014, 00:04:a3:a0:ff:0e,  41.0 C,   1.629 V,     1,       0,       0,     2,   0.939 A,  11.834 V,   1.212 V,   1.211 V,   1.014 V,   1.003 V,  11.112 W
