                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_C,       V_C,    VADJ_A,    VADJ_B,    VADJ_C,    VADJ_D, Total Power
 Wed Apr 23 13:27:19 2014, 00:1e:c0:81:1d:ac,  33.3 C,   2.390 V,     1,       0,       1,     1,   1.712 A,  11.949 V,   1.182 V,   1.181 V,   0.978 V,   0.973 V,  20.462 W
 Wed Apr 23 13:27:30 2014, 00:1e:c0:81:1d:ac,  37.6 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.183 V,   1.182 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:27:39 2014, 00:1e:c0:81:1d:ac,  40.1 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.926 V,   1.184 V,   1.183 V,   0.978 V,   0.973 V,  20.441 W
 Wed Apr 23 13:27:49 2014, 00:1e:c0:81:1d:ac,  41.0 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.184 V,   1.183 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:27:59 2014, 00:1e:c0:81:1d:ac,  42.1 C,   2.390 V,     1,       0,       1,     1,   1.717 A,  11.949 V,   1.185 V,   1.183 V,   0.978 V,   0.973 V,  20.518 W
 Wed Apr 23 13:28:09 2014, 00:1e:c0:81:1d:ac,  43.5 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:28:19 2014, 00:1e:c0:81:1d:ac,  44.3 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.185 V,   1.183 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:28:29 2014, 00:1e:c0:81:1d:ac,  44.9 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.185 V,   1.183 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:28:39 2014, 00:1e:c0:81:1d:ac,  45.1 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:28:49 2014, 00:1e:c0:81:1d:ac,  45.8 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:28:59 2014, 00:1e:c0:81:1d:ac,  45.6 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:29:09 2014, 00:1e:c0:81:1d:ac,  45.7 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:29:19 2014, 00:1e:c0:81:1d:ac,  46.0 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.183 V,   0.978 V,   0.972 V,  20.499 W
 Wed Apr 23 13:29:29 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.926 V,   1.185 V,   1.183 V,   0.978 V,   0.973 V,  20.441 W
 Wed Apr 23 13:29:39 2014, 00:1e:c0:81:1d:ac,  46.1 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.481 W
 Wed Apr 23 13:29:49 2014, 00:1e:c0:81:1d:ac,  46.1 C,   2.390 V,     1,       0,       1,     1,   1.717 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.518 W
