                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 13:27:20 2014, 00:1e:c0:81:3a:fa,  23.7 C,   0.964 V,     1,       0,       1,     1  0.810 A,  11.949 V,   0.655 A,  11.949 V,  17.505 W
 Wed Apr 23 13:27:32 2014, 00:1e:c0:81:3a:fa,  25.9 C,   0.964 V,     1,       0,       1,     1  0.795 A,  11.949 V,   0.642 A,  11.949 V,  17.176 W
 Wed Apr 23 13:27:40 2014, 00:1e:c0:81:3a:fa,  27.2 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.949 V,   0.642 A,  11.926 V,  17.132 W
 Wed Apr 23 13:27:50 2014, 00:1e:c0:81:3a:fa,  28.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.926 V,   0.642 A,  11.949 V,  17.098 W
 Wed Apr 23 13:28:00 2014, 00:1e:c0:81:3a:fa,  29.1 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:28:10 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:28:20 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.642 A,  11.949 V,  17.116 W
 Wed Apr 23 13:28:30 2014, 00:1e:c0:81:3a:fa,  30.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:28:40 2014, 00:1e:c0:81:3a:fa,  30.7 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:28:50 2014, 00:1e:c0:81:3a:fa,  30.9 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.949 V,   0.640 A,  11.926 V,  17.102 W
 Wed Apr 23 13:29:00 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:29:10 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.926 V,  17.042 W
 Wed Apr 23 13:29:20 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:29:30 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:29:40 2014, 00:1e:c0:81:3a:fa,  31.6 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.972 V,  17.101 W
 Wed Apr 23 13:29:50 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.949 V,   0.637 A,  11.949 V,  17.087 W
