                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 13:27:20 2014, 00:1e:c0:81:71:33,  23.3 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.949 V,   0.672 A,  11.949 V,  17.236 W
 Wed Apr 23 13:27:30 2014, 00:1e:c0:81:71:33,  25.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.665 A,  11.949 V,  17.039 W
 Wed Apr 23 13:27:40 2014, 00:1e:c0:81:71:33,  26.8 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.665 A,  11.949 V,  17.057 W
 Wed Apr 23 13:27:50 2014, 00:1e:c0:81:71:33,  28.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.665 A,  11.949 V,  17.057 W
 Wed Apr 23 13:28:00 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.972 V,   0.662 A,  11.949 V,  17.044 W
 Wed Apr 23 13:28:10 2014, 00:1e:c0:81:71:33,  29.6 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.665 A,  11.949 V,  17.039 W
 Wed Apr 23 13:28:20 2014, 00:1e:c0:81:71:33,  29.8 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:28:30 2014, 00:1e:c0:81:71:33,  30.2 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.926 V,  16.982 W
 Wed Apr 23 13:28:40 2014, 00:1e:c0:81:71:33,  30.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:28:50 2014, 00:1e:c0:81:71:33,  30.5 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:29:00 2014, 00:1e:c0:81:71:33,  30.7 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.665 A,  11.949 V,  17.057 W
 Wed Apr 23 13:29:10 2014, 00:1e:c0:81:71:33,  30.8 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:29:20 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.665 A,  11.949 V,  17.057 W
 Wed Apr 23 13:29:30 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:29:40 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:29:50 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:30:00 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:30:10 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:30:20 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:30:30 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.972 V,  17.042 W
 Wed Apr 23 13:30:40 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:30:50 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:31:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:31:10 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:31:20 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.926 V,  16.982 W
 Wed Apr 23 13:31:30 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.949 V,   0.662 A,  11.949 V,  17.057 W
 Wed Apr 23 13:31:40 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:31:50 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:32:00 2014, 00:1e:c0:81:71:33,  31.5 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:32:10 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:32:20 2014, 00:1e:c0:81:71:33,  31.5 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:32:30 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:32:40 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.926 V,  16.982 W
 Wed Apr 23 13:32:50 2014, 00:1e:c0:81:71:33,  31.5 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.949 V,   0.662 A,  11.949 V,  17.057 W
 Wed Apr 23 13:33:00 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:33:10 2014, 00:1e:c0:81:71:33,  31.5 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:33:20 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:33:30 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:33:40 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.972 V,   0.665 A,  11.972 V,  17.090 W
 Wed Apr 23 13:33:50 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:34:00 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:34:10 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.926 V,  16.994 W
