                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_C,       V_C,    VADJ_A,    VADJ_B,    VADJ_C,    VADJ_D, Total Power
 Sat Apr 12 14:17:30 2014, 00:1e:c0:81:1d:ac,  19.9 C,   2.394 V,     1,       0,       1,     1,   1.706 A,  11.949 V,   1.180 V,   1.179 V,   0.977 V,   0.973 V,  20.387 W
 Sat Apr 12 14:17:40 2014, 00:1e:c0:81:1d:ac,  27.2 C,   2.394 V,     1,       0,       1,     1,   1.702 A,  11.949 V,   1.182 V,   1.181 V,   0.977 V,   0.972 V,  20.331 W
 Sat Apr 12 14:17:50 2014, 00:1e:c0:81:1d:ac,  31.6 C,   2.390 V,     1,       0,       1,     1,   1.700 A,  11.972 V,   1.183 V,   1.181 V,   0.978 V,   0.972 V,  20.352 W
 Sat Apr 12 14:18:00 2014, 00:1e:c0:81:1d:ac,  34.8 C,   2.390 V,     1,       0,       1,     1,   1.702 A,  11.972 V,   1.184 V,   1.183 V,   0.978 V,   0.972 V,  20.371 W
 Sat Apr 12 14:18:10 2014, 00:1e:c0:81:1d:ac,  37.5 C,   2.390 V,     1,       0,       1,     1,   1.703 A,  11.972 V,   1.184 V,   1.183 V,   0.978 V,   0.973 V,  20.389 W
 Sat Apr 12 14:18:20 2014, 00:1e:c0:81:1d:ac,  39.4 C,   2.390 V,     1,       0,       1,     1,   1.702 A,  11.949 V,   1.184 V,   1.183 V,   0.978 V,   0.972 V,  20.331 W
 Sat Apr 12 14:18:30 2014, 00:1e:c0:81:1d:ac,  40.7 C,   2.649 V,     1,       1,       0,     1,   2.089 A,  11.926 V,   1.316 V,   1.313 V,   1.084 V,   1.076 V,  24.913 W
 Sat Apr 12 14:18:40 2014, 00:1e:c0:81:1d:ac,  42.8 C,   2.649 V,     1,       1,       0,     1,   2.087 A,  11.903 V,   1.317 V,   1.314 V,   1.085 V,   1.077 V,  24.847 W
 Sat Apr 12 14:18:50 2014, 00:1e:c0:81:1d:ac,  44.5 C,   2.649 V,     1,       1,       0,     1,   2.086 A,  11.949 V,   1.317 V,   1.314 V,   1.084 V,   1.077 V,  24.924 W
 Sat Apr 12 14:19:00 2014, 00:1e:c0:81:1d:ac,  45.6 C,   2.649 V,     1,       1,       0,     1,   2.086 A,  11.926 V,   1.317 V,   1.314 V,   1.085 V,   1.077 V,  24.876 W
 Sat Apr 12 14:19:10 2014, 00:1e:c0:81:1d:ac,  46.8 C,   2.649 V,     1,       1,       0,     1,   2.087 A,  11.926 V,   1.319 V,   1.315 V,   1.085 V,   1.076 V,  24.895 W
 Sat Apr 12 14:19:20 2014, 00:1e:c0:81:1d:ac,  47.9 C,   2.649 V,     1,       1,       0,     1,   2.086 A,  11.926 V,   1.318 V,   1.315 V,   1.085 V,   1.076 V,  24.876 W
 Sat Apr 12 14:19:30 2014, 00:1e:c0:81:1d:ac,  48.7 C,   2.515 V,     1,       0,       0,     1,   1.812 A,  11.949 V,   1.251 V,   1.248 V,   1.029 V,   1.022 V,  21.657 W
 Sat Apr 12 14:19:40 2014, 00:1e:c0:81:1d:ac,  48.3 C,   2.515 V,     1,       0,       0,     1,   1.811 A,  11.949 V,   1.250 V,   1.248 V,   1.029 V,   1.023 V,  21.638 W
 Sat Apr 12 14:19:50 2014, 00:1e:c0:81:1d:ac,  47.5 C,   2.515 V,     1,       0,       0,     1,   1.812 A,  11.949 V,   1.250 V,   1.248 V,   1.029 V,   1.022 V,  21.657 W
 Sat Apr 12 14:20:00 2014, 00:1e:c0:81:1d:ac,  47.1 C,   2.515 V,     1,       0,       0,     1,   1.806 A,  11.949 V,   1.250 V,   1.248 V,   1.029 V,   1.022 V,  21.582 W
 Sat Apr 12 14:20:10 2014, 00:1e:c0:81:1d:ac,  47.0 C,   2.515 V,     1,       0,       0,     1,   1.811 A,  11.949 V,   1.251 V,   1.248 V,   1.029 V,   1.022 V,  21.638 W
 Sat Apr 12 14:20:20 2014, 00:1e:c0:81:1d:ac,  46.7 C,   2.515 V,     1,       0,       0,     1,   1.803 A,  11.949 V,   1.251 V,   1.248 V,   1.029 V,   1.022 V,  21.545 W
 Sat Apr 12 14:20:32 2014, 00:1e:c0:81:1d:ac,  46.2 C,   2.515 V,     1,       0,       0,     2,   2.105 A,  11.903 V,   1.257 V,   1.254 V,   1.034 V,   1.024 V,  25.051 W
 Sat Apr 12 14:20:42 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.515 V,     1,       0,       0,     2,   2.105 A,  11.926 V,   1.258 V,   1.254 V,   1.034 V,   1.024 V,  25.100 W
 Sat Apr 12 14:20:52 2014, 00:1e:c0:81:1d:ac,  46.7 C,   2.515 V,     1,       0,       0,     2,   2.105 A,  11.903 V,   1.257 V,   1.254 V,   1.034 V,   1.025 V,  25.051 W
 Sat Apr 12 14:21:02 2014, 00:1e:c0:81:1d:ac,  46.8 C,   2.515 V,     1,       0,       0,     2,   2.106 A,  11.903 V,   1.258 V,   1.254 V,   1.034 V,   1.025 V,  25.070 W
 Sat Apr 12 14:21:12 2014, 00:1e:c0:81:1d:ac,  47.5 C,   2.515 V,     1,       0,       0,     2,   2.106 A,  11.926 V,   1.257 V,   1.254 V,   1.034 V,   1.024 V,  25.118 W
 Sat Apr 12 14:21:22 2014, 00:1e:c0:81:1d:ac,  47.7 C,   2.515 V,     1,       0,       0,     2,   2.108 A,  11.903 V,   1.258 V,   1.254 V,   1.034 V,   1.024 V,  25.088 W
