                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Sat Apr 12 14:17:30 2014, 00:1e:c0:81:3a:fa,  17.9 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.650 A,  11.926 V,  17.143 W
 Sat Apr 12 14:17:41 2014, 00:1e:c0:81:3a:fa,  22.4 C,   0.964 V,     1,       0,       1,     1  0.775 A,  11.926 V,   0.642 A,  11.949 V,  16.919 W
 Sat Apr 12 14:17:50 2014, 00:1e:c0:81:3a:fa,  25.8 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.972 V,   0.642 A,  11.972 V,  16.910 W
 Sat Apr 12 14:18:00 2014, 00:1e:c0:81:3a:fa,  28.8 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.972 V,   0.640 A,  11.972 V,  16.850 W
 Sat Apr 12 14:18:10 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.972 V,   0.640 A,  11.949 V,  16.805 W
 Sat Apr 12 14:18:20 2014, 00:1e:c0:81:3a:fa,  33.4 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.972 V,   0.640 A,  11.972 V,  16.820 W
 Sat Apr 12 14:18:30 2014, 00:1e:c0:81:3a:fa,  35.1 C,   1.068 V,     1,       1,       0,     1  0.907 A,  11.949 V,   0.777 A,  11.949 V,  20.134 W
 Sat Apr 12 14:18:40 2014, 00:1e:c0:81:3a:fa,  37.1 C,   1.068 V,     1,       1,       0,     1  0.902 A,  11.926 V,   0.772 A,  11.949 V,  19.993 W
 Sat Apr 12 14:18:50 2014, 00:1e:c0:81:3a:fa,  38.7 C,   1.068 V,     1,       1,       0,     1  0.900 A,  11.949 V,   0.770 A,  11.926 V,  19.937 W
 Sat Apr 12 14:19:00 2014, 00:1e:c0:81:3a:fa,  40.7 C,   1.068 V,     1,       1,       0,     1  0.900 A,  11.949 V,   0.770 A,  11.926 V,  19.937 W
 Sat Apr 12 14:19:10 2014, 00:1e:c0:81:3a:fa,  42.0 C,   1.068 V,     1,       1,       0,     1  0.902 A,  11.949 V,   0.770 A,  11.949 V,  19.984 W
 Sat Apr 12 14:19:20 2014, 00:1e:c0:81:3a:fa,  43.5 C,   1.068 V,     1,       1,       0,     1  0.902 A,  11.926 V,   0.770 A,  11.926 V,  19.946 W
 Sat Apr 12 14:19:31 2014, 00:1e:c0:81:3a:fa,  44.1 C,   1.016 V,     1,       0,       0,     1  0.750 A,  11.949 V,   0.695 A,  11.949 V,  17.266 W
 Sat Apr 12 14:19:41 2014, 00:1e:c0:81:3a:fa,  44.1 C,   1.016 V,     1,       0,       0,     1  0.752 A,  11.949 V,   0.695 A,  11.949 V,  17.296 W
 Sat Apr 12 14:19:51 2014, 00:1e:c0:81:3a:fa,  44.5 C,   1.016 V,     1,       0,       0,     1  0.755 A,  11.949 V,   0.695 A,  11.949 V,  17.326 W
 Sat Apr 12 14:20:01 2014, 00:1e:c0:81:3a:fa,  44.2 C,   1.016 V,     1,       0,       0,     1  0.755 A,  11.949 V,   0.695 A,  11.949 V,  17.326 W
 Sat Apr 12 14:20:11 2014, 00:1e:c0:81:3a:fa,  44.5 C,   1.016 V,     1,       0,       0,     1  0.757 A,  11.949 V,   0.695 A,  11.949 V,  17.355 W
 Sat Apr 12 14:20:21 2014, 00:1e:c0:81:3a:fa,  44.9 C,   1.016 V,     1,       0,       0,     1  0.752 A,  11.949 V,   0.695 A,  11.949 V,  17.296 W
 Sat Apr 12 14:20:32 2014, 00:1e:c0:81:3a:fa,  44.8 C,   1.016 V,     1,       0,       0,     2  1.085 A,  11.926 V,   0.993 A,  11.926 V,  24.776 W
 Sat Apr 12 14:20:42 2014, 00:1e:c0:81:3a:fa,  46.7 C,   1.016 V,     1,       0,       0,     2  1.087 A,  11.926 V,   0.993 A,  11.926 V,  24.805 W
 Sat Apr 12 14:20:52 2014, 00:1e:c0:81:3a:fa,  48.2 C,   1.016 V,     1,       0,       0,     2  1.087 A,  11.926 V,   0.993 A,  11.903 V,  24.782 W
 Sat Apr 12 14:21:02 2014, 00:1e:c0:81:3a:fa,  49.9 C,   1.016 V,     1,       0,       0,     2  1.087 A,  11.903 V,   0.995 A,  11.903 V,  24.787 W
 Sat Apr 12 14:21:12 2014, 00:1e:c0:81:3a:fa,  51.0 C,   1.016 V,     1,       0,       0,     2  1.093 A,  11.903 V,   0.995 A,  11.903 V,  24.847 W
 Sat Apr 12 14:21:22 2014, 00:1e:c0:81:3a:fa,  51.8 C,   1.016 V,     1,       0,       0,     2  1.090 A,  11.903 V,   0.995 A,  11.926 V,  24.840 W
