                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Sat Apr 12 14:17:31 2014, 00:1e:c0:81:71:33,  19.9 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.949 V,   0.680 A,  11.949 V,  17.594 W
 Sat Apr 12 14:17:42 2014, 00:1e:c0:81:71:33,  25.2 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.972 V,   0.665 A,  11.972 V,  17.209 W
 Sat Apr 12 14:17:50 2014, 00:1e:c0:81:71:33,  28.7 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.972 V,   0.660 A,  11.972 V,  17.149 W
 Sat Apr 12 14:18:00 2014, 00:1e:c0:81:71:33,  32.5 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.972 V,   0.657 A,  11.972 V,  17.090 W
 Sat Apr 12 14:18:10 2014, 00:1e:c0:81:71:33,  36.0 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.972 V,   0.657 A,  11.949 V,  17.045 W
 Sat Apr 12 14:18:20 2014, 00:1e:c0:81:71:33,  39.0 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.972 V,   0.655 A,  11.972 V,  17.000 W
 Sat Apr 12 14:18:31 2014, 00:1e:c0:81:71:33,  41.7 C,   1.063 V,     1,       1,       0,     1  0.912 A,  11.926 V,   0.782 A,  11.949 V,  20.232 W
 Sat Apr 12 14:18:41 2014, 00:1e:c0:81:71:33,  44.7 C,   1.063 V,     1,       1,       0,     1  0.905 A,  11.926 V,   0.777 A,  11.926 V,  20.065 W
 Sat Apr 12 14:18:51 2014, 00:1e:c0:81:71:33,  47.5 C,   1.063 V,     1,       1,       0,     1  0.902 A,  11.949 V,   0.772 A,  11.949 V,  20.014 W
 Sat Apr 12 14:19:01 2014, 00:1e:c0:81:71:33,  49.8 C,   1.063 V,     1,       1,       0,     1  0.902 A,  11.926 V,   0.772 A,  11.949 V,  19.993 W
 Sat Apr 12 14:19:11 2014, 00:1e:c0:81:71:33,  52.5 C,   1.063 V,     1,       1,       0,     1  0.902 A,  11.926 V,   0.772 A,  11.949 V,  19.993 W
 Sat Apr 12 14:19:21 2014, 00:1e:c0:81:71:33,  55.0 C,   1.063 V,     1,       1,       0,     1  0.902 A,  11.926 V,   0.770 A,  11.926 V,  19.946 W
 Sat Apr 12 14:19:31 2014, 00:1e:c0:81:71:33,  56.9 C,   1.011 V,     1,       0,       0,     1  0.755 A,  11.949 V,   0.698 A,  11.949 V,  17.355 W
 Sat Apr 12 14:19:41 2014, 00:1e:c0:81:71:33,  58.0 C,   1.011 V,     1,       0,       0,     1  0.757 A,  11.972 V,   0.698 A,  11.972 V,  17.419 W
 Sat Apr 12 14:19:51 2014, 00:1e:c0:81:71:33,  59.1 C,   1.011 V,     1,       0,       0,     1  0.757 A,  11.949 V,   0.698 A,  11.949 V,  17.385 W
 Sat Apr 12 14:20:01 2014, 00:1e:c0:81:71:33,  59.6 C,   1.011 V,     1,       0,       0,     1  0.760 A,  11.972 V,   0.698 A,  11.949 V,  17.433 W
 Sat Apr 12 14:20:11 2014, 00:1e:c0:81:71:33,  60.8 C,   1.011 V,     1,       0,       0,     1  0.760 A,  11.949 V,   0.698 A,  11.972 V,  17.431 W
 Sat Apr 12 14:20:21 2014, 00:1e:c0:81:71:33,  61.6 C,   1.011 V,     1,       0,       0,     1  0.760 A,  11.949 V,   0.695 A,  11.949 V,  17.385 W
 Sat Apr 12 14:20:33 2014, 00:1e:c0:81:71:33,  62.1 C,   1.011 V,     1,       0,       0,     2  1.115 A,  11.926 V,   1.002 A,  11.903 V,  25.229 W
 Sat Apr 12 14:20:43 2014, 00:1e:c0:81:71:33,  64.5 C,   1.011 V,     1,       0,       0,     2  1.115 A,  11.903 V,   1.002 A,  11.903 V,  25.204 W
 Sat Apr 12 14:20:53 2014, 00:1e:c0:81:71:33,  67.2 C,   1.011 V,     1,       0,       0,     2  1.120 A,  11.880 V,   1.002 A,  11.926 V,  25.261 W
 Sat Apr 12 14:21:03 2014, 00:1e:c0:81:71:33,  69.8 C,   1.011 V,     1,       0,       0,     2  1.120 A,  11.926 V,   1.005 A,  11.903 V,  25.319 W
 Sat Apr 12 14:21:13 2014, 00:1e:c0:81:71:33,  72.0 C,   1.011 V,     1,       0,       0,     2  1.125 A,  11.926 V,   1.002 A,  11.903 V,  25.349 W
 Sat Apr 12 14:21:23 2014, 00:1e:c0:81:71:33,  73.9 C,   1.011 V,     1,       0,       0,     2  1.125 A,  11.903 V,   1.002 A,  11.903 V,  25.323 W
